Unnamed: 0,Company,Total GHG
0,New york power authority,2006646.0
1,Williams partners l.p.,3423677.4
2,Archdiocese of chicago,31718.0
3,3m center,87826.0
4,3m company,36879.0
5,3m company,244835.0
6,3m company,28750.0
7,3m,28988.0
8,Holland board of public works,348591.0
9,Miami-dade county department of solid waste,112946.0
10,"Consolidated edison, inc.",3236885.0
11,City of houston,27214.0
12,Vectren,2189502.0
13,Hitachi metals america,27551.0
14,Abbott labortories,27764.0
15,Abbott laboratories,243345.0
16,Abbott hospitals,117315.0
17,Drummond co inc,208846.0
18,Advanced bioenergy,84217.0
19,Glacial lakes corn processors,314039.0
20,U.s. government,113058.0
21,"Enbridge energy partners, l.p.",687111.0
22,"Absolute energy, l.l.c.",166628.0
23,Shell petroleum inc.,4686839.0
24,Acadia parish police jury,46724.0
25,Trona operating partners,783184.0
26,"Ace ethanol, llc",71980.0
27,"Koch industries, inc.",16515644.0
28,"Olympus power, llc",669084.0
29,Adkins energy llc,67146.0
30,Archer daniels midland co.,4599198.0
31,Archer daniels midland company,4762080.0
32,Archer daniels midland,1784112.0
33,"Republic services, inc.",14769398.61
34,Advanced disposal,955149.0
35,"Veolia environnement north america operations, inc.",2408401.0
36,Advanced disposal services,192395.0
37,Ads waste holdings inc,43495.0
38,Honeywell international,44297.0
39,"Honeywell international, inc.",5116738.0
40,Aes corporation,14710573.0
41,The aes corporation,5224614.0
42,Newmarket corporation,43236.0
43,"Ag energy, lp",9712.0
44,Ag processing inc,467329.0
45,Agc glass company north america,29466.0
46,"Agc flat glass north america, inc.",100283.0
47,Agc,45429.0
48,Asahi glass company,94350.0
49,Gevo,39679.0
50,Agrifos fertilizer l.l.c.,49375.0
51,Agrium u.s. inc,841955.0
52,"Agrium u.s., inc",104574.0
53,Agrium us inc,82935.0
54,Agy holding corp,12833.0
55,Air liquide large industries us lp,3778101.0
56,"American air liquide holdings, inc.",140667.0
57,Air liquide large industries u.s. lp,191411.0
58,Air liquide america lp,422530.0
59,"Air products and chemicals, inc.",6380740.0
60,"Air products and chemicals, inc",1875965.0
61,Air products and chemicals inc.,789517.0
62,"Air products & chemicals, inc.",859226.0
63,"Ajinomoto u.s.a., inc.",111819.0
64,Ak steel corporation,7723313.0
65,"Severstal north america, inc.",1919200.0
66,"Waste management, inc.",19461893.0
67,Al-corn clean fuel,77311.0
68,"Al sandersville, llc",32748.0
69,"Al turi landfill, inc.",9216.0
70,Aladdin mills inc,50319.0
71,City of albany,84270.0
72,Albemarle corporation,272861.0
73,Alcoa inc,6766676.0
74,Alcoa inc.,2640417.4
75,Alumina ltd,303399.60000000003
76,Blount county,31812.800000000003
77,City of alcoa,23859.6
78,City of maryville,23859.6
79,Aleris international inc.,370594.0
80,City of santa clara,250516.0
81,Alliant techsystems operations llc,27717.0
82,Allegheny technologies incorporated,440505.0
83,Allen county kansas,53211.0
84,Cowtown pipeline partners l.p.,48479.0
85,Inc.,5076395.5
86,Veresen inc.,288484.5
87,Almatis,5437.0
88,"Alonusa energy, inc.",258478.0
89,"Howard county, maryland",28220.0
90,"El paso midstream investment company, llc",25138.0
91,Alton steel inc.,48759.0
92,Alyeska pipeline service company,259214.0
93,"Thyssenkrupp steel usa, llc",35675.0
94,Snake river sugar company,839160.0
95,Alabama municipal electric authority,6644.0
96,Arkema inc.,67820.0
97,"Na industries, inc",13716.0
98,Amr corporation,53834.0
99,County of fresno,87473.0
100,"Oldcastle materials, inc.",137955.5
101,"Natural resources of central florida, inc.",110364.4
102,"Cjm of florida, llc",27591.1
103,American colloid company,93618.0
104,American crystal sugar,1736168.0
105,American environmental landfill,84866.0
106,"Eagle materials, inc.",567410.0
107,Eagle materials inc.,1061520.0
108,American proteins inc.,204221.0
109,American refining group,163961.0
110,"American sugar refining, inc.",125542.0
111,Michelin north america inc.,267098.0
112,"Chevron phillips chemical company, llc",336716.0
113,Amgen inc,26422.0
114,Amgen inc.,27381.0
115,"American municipal power, inc.",974050.0
116,Monomoy captial partners,143526.0
117,Municipality of anchorage - solid waste servieces,323157.0
118,Conocophillips,15727127.7
119,Spectra energy corp,1282124.5
120,"The andersons, inc.",88463.0
121,Angelina co. waste management center,25268.0
122,The dow chemical company,14992598.0
123,Anheuser-busch inbev,272591.0
124,Anheuser-busch inbev,463617.0
125,Anheuser busch inc,57576.0
126,City of farmington,258297.0
127,Ipr-gdf suez energy north america,691637.0
128,"Ipr-gdf suez energy north america, inc.",896400.0
129,Transcanada american investments ltd.,1411984.0
130,Transcanada american investments ltd,80048.0
131,"Merit energy company, llc",164224.0
132,Republic services inc.,354661.0
133,Freeport-mcmoran copper & gold,329628.39
134,Southwest energy,329628.39
135,"Arbutus management holdings, llc",13454.22
136,"Environmental logistics services, llc",395199.0
137,Appleton papers inc.,109959.0
138,Appleton papers inc,99788.0
139,Pinnacle west capital corporation,12257270.29
140,Black hills corporation,3162743.0
141,Arkansas glass container corporation,34942.0
142,Uniboard usa llc,8964.0
143,Arcelormittal usa llc,21671433.65
144,Dofasco holdings inc. [dba. arcelormittal tubular products usa corporation],62355.0
145,Lafarge na inc.,658460.0
146,Essroc italcementi group,1551786.0
147,"Arizona chemical company, llc",159766.0
148,Arizona board of regents for and on behalf of arizona state university,44607.0
149,"Arkansas steel associates, llc",48243.0
150,"Conestoga energy partners, llc",169335.0
151,"U.s. lime & minerals, inc.",1152857.0
152,Arkema delaware inc,74030.0
153,"Snyder associated companies, inc",184971.0
154,"Armstrong world industries, inc.",127534.0
155,Americas mining corporation,128103.0
156,Ascend performance materials llc,6136451.0
157,Ash grove cement company,4190890.0
158,Enogex holdings llc,132179.0
159,Astoria energy llc,1276885.0
160,Athens-clarke county unified government,91960.0
161,Ati ladish llc,63662.0
162,Alliant techsystems inc,77342.0
163,"Maximus coffee group, l.p",39869.0
164,Atlantic county utilities authority,112340.0
165,Dte energy,32087702.0
166,Sussex county board of supervisors,187534.0
167,City of auburn,24933.0
168,"Koch enterprises, inc.",35983.0
169,Austin utilities,4961.0
170,Austin white lime company,373300.0
171,Aux sable liquid products llc,207598.0
172,Oneida-herkimer solid waste management authority,62072.0
173,"Waste connections, inc.",2466844.0
174,Republic industries,105657.0
175,Cleco corporation,4077261.0
176,Entergy,613190.5
177,Gdf suez energy north america,1043065.0
178,Ada county solid waste management,165359.0
179,"Sid richardson carbon, ltd.",1021709.0
180,Sunoco inc. r&m,125943.0
181,Ameren,58893386.0
182,Public service company of new mexico,210945.0
183,Agra resources coop dba poet biorefining glenville,61483.0
184,Agrium u.s. inc.,169119.0
185,Salt river project,8212476.0
186,City of colton,16539.0
187,Trident seafoods corporation,36933.0
188,"Mohawk industries, inc",33390.0
189,Alamance county,103200.0
190,Albert einstein college of medicine,39444.0
191,"Firstenergy generation, llc",50121694.0
192,Monongahela power company,11672992.87
193,Connecticut municipal electric energy cooperative,4946.0
194,"Algonquin power windsor locks, llc",183880.0
195,"Iberdrola usa, inc.",29353.0
196,Allegheny energy,8931964.260000002
197,"Firstenergy generation, llc",8870208.37
198,"Xcel energy, inc.",36025439.0
199,"Allens, inc.",25410.0
200,Devon energy,908587.0
201,Dairyland power cooperative,4226287.0
202,Turlock irrigation district,27517.0
203,Alon usa,43296.0
204,Alphapet inc.,24607.0
205,Alstom grid inc,170.0
206,Veresen u.s. power inc.,138530.0
207,"Altair disposal services, llc",30362.0
208,Dominion resources inc,51198826.0
209,Anadarko petroleum corporation,1456476.24
210,Napa vallejo waste management authority,51676.0
211,American sugar refining inc.,118672.0
212,American sugar refining inc,87920.0
213,"City of ames, iowa",448698.0
214,Western farmers electric cooperative,3640078.0
215,City of anaheim,22519.0
216,Anchor glass container corporation,673388.0
217,"Progress energy, inc.",23618039.0
218,Indiana municipal power agency,3913.0
219,Waste connections inc.,555762.0
220,Garco energy llc,3611.0
221,Basin electric power cooperative,14267751.0
222,Arizona electric power cooperative,2281313.0
223,"Ls power development, llc",1986902.0
224,Appleton coated llc,155109.0
225,Gp,1710258.0
226,"Markwest energy partners, l.p.",823052.0
227,Southwest generation operating company,605897.0
228,Saint-gobain containers inc.,968552.0
229,Saint-gobain containers inc,98427.0
230,"Leone industries, inc.",53787.0
231,Municipality of arecibo,153540.0
232,Vulcan materials company,526383.0
233,"Lafarge north america, inc.",6361022.0
234,Southern ute indian tribe,117800.31
235,Kinder morgan,113180.69
236,Arkema inc,20022.0
237,Kinder morgan w2e pipeline llc,361860.0
238,Coprex llc,180930.0
239,"P&s project i, llc",180930.0
240,City of arlington,209742.0
241,"Enterprise hydrocarbons, l.p.",234881.0
242,"Ipr-gdf suez north america, inc.",4327407.0
243,"Armstrong world industries, inc",92627.0
244,Plains exploration & production company,909831.0
245,American electric power,112654854.5
246,"Nrg energy, inc",8341981.0
247,City of tallahassee,1215204.0
248,The empire district electric company,2108737.0
249,"Ascend performance materials, llc",503870.0
250,Grace pacific corporation,46819.9
251,Jas w glover ltd,620.1
252,"Astoria generating company, l.p.",1321149.0
253,"Texas eastern transmission, l.p.",1161652.0
254,Mach gen,2288949.0
255,Solid waste management company of atkinson county,24600.0
256,Bp america inc.,21162663.36
257,Atmos energy corporation,35045.0
258,Entergy corporation,23154218.22
259,Calpine corporation,37113755.0
260,Aucilla area solid waste facility,38259.0
261,Auriga polymers inc.,117144.0
262,"Genon energy, inc",17758867.0
263,"Ppg industries, inc.",1417323.0
264,Georgia gulf corporation,1524206.0
265,B.braun medical inc.,53483.0
266,Cms energy,11727196.5
267,"Rc cape may holdings, llc",603884.0
268,Badger creek ltd,180623.0
269,Badger state ethanol,90534.0
270,County of riverside,42166.0
271,Energy transfer partners lp,831877.0
272,City of bakersfield,9930.0
273,Baldwin county,124264.0
274,Ball state university,79489.0
275,"The williams companies, inc.",2881213.9
276,"Barrow utilities & electric cooperative, inc.",42689.0
277,San bernardino county - solid waste management division,145442.0
278,Bartholomew county solid waste management district,82449.0
279,Barton county,31744.0
280,Basf corporation,3756522.0
281,Basf corporation,52520.0
282,Basic american foods,84525.0
283,City of bath,17168.0
284,Page county,54446.0
285,Baxter international inc.,6695.0
286,"Bay county, florida",43856.0
287,"Treehouse foods, inc.",95956.0
288,Bayer corporation,535717.0
289,"Swift energy operating, llc",56416.0
290,South utah valley solid waste district,53956.0
291,"Aim midstream holdings, llc",36610.84
292,"American midstream gp, llc",747.16
293,Arcelormittal holdings llc,66465.0
294,"Thermal ventures ii, l.p.",100067.0
295,White birch paper company,73065.0
296,Bear mountain ltd.,188000.0
297,Exxonmobil corp,6726730.0
298,"Rumpke waste, inc.",224998.0
299,John sexton contractors,41049.0
300,"Waste management of illinois, inc.",41049.0
301,Bellefield boiler plant,83754.0
302,Wtg benedum joint venture,57563.0
303,Halliburton,79212.0
304,Berkeley county water and sanitation,86955.0
305,Beta offshore,44262.0
306,Council of dorchester county,16809.0
307,Montgomery county government,218300.0
308,Enviro solutions inc.,141488.0
309,"Alon usa energy, inc.",655488.0
310,Fj management inc.,246386.0
311,"Solid waste division, city of bllings, montana",483284.0
312,"Biogen idec, inc",35794.0
313,Kyowa hakko bio,26727.0
314,Newpage holding corporation,2501241.0
315,Black hawk county landfill,39070.0
316,Black warrior solid waste disposal authority,316671.0
317,Catawba county,52610.0
318,"Enterprise field services, llc",315016.0
319,Blandin paper company,22810.0
320,Occidential petroleum corporation,301065.3
321,Blue heron paper company,85725.0
322,Blue island phenol llc,54029.0
323,"City of lincoln, nebraska",355096.0
324,"S.b. acquisitions, inc.",36838.0
325,Boise inc,179306.0
326,Boise paper holdings llc,100891.0
327,"Boise paper holdings, llc",179873.0
328,Boise inc.,178321.0
329,"Bonanza creek energy, inc.",24639.0
330,Bountiful city,45570.0
331,Town of bourne,29754.0
332,Husky energy inc.,645144.5
333,"Oneok partners, l.p.",975510.5
334,"Bradley county, tn",123624.0
335,"Braskem america, inc.",32586.0
336,"Braskem america, inc",27080.0
337,"Chesapeake midstream partners, lp",271186.0
338,Brevard county board of county commissioners,220046.0
339,"Bridgeport ethanol, llc",49810.0
340,"Bridgestone americas holding, inc.",26206.0
341,"Bridgestone americas, inc",54951.0
342,"Bridgestone americas tire operations, llc",48541.0
343,Brigham young university,53522.0
344,Oswego county department of solid waste,29334.0
345,"City of bristol, virginia",176166.0
346,City of broken arrow,2483.64
347,"Eagle rock operating, l.p.",38451.0
348,Town of brookhaven,2183.0
349,City of wichita,198662.0
350,Broome county division of solid waste managment,87914.0
351,Broward county solid waste and recycling services - solid waste operations division,32549.0
352,Brown county port & solid waste department,9793.0
353,Brown county,40293.0
354,Brown university,31072.0
355,Brown-forman corporation,46217.0
356,Republic services,341691.0
357,Verso paper corp.,1073468.0
358,"County of santa cruz, department of public works",85158.0
359,Doe run resources company,125280.0
360,Buncombe county,62406.0
361,Buncombe county solid waste services,4638.0
362,"Bunge north america, inc.",217258.0
363,"Solae, llc",193485.0
364,Llc,196020.0
365,", inc",91351.0
366,"Bunge oils, inc.",39504.0
367,City of burbank,13232.0
368,Burlington county,52949.0
369,"Bushmills ethanol, inc.",76497.0
370,"Sowega energy resources, llc.",74859.85
371,"Tejas power generation, llc.",40309.15
372,Northern indiana public service company,16116942.0
373,"Dynegy, inc.",28156001.0
374,"C/r energy jade, llc",881944.0
375,Edison international,33880404.0
376,Barrick gold corporation,255535.0
377,Southern company,98652305.75
378,Direct energy lp,1652215.0
379,"Seneca power partners, lp",16311.0
380,"Bavarian trucking company, inc.",48035.0
381,Bayonne plant holding llc,121462.0
382,"Nrg energy, inc.",85413.0
383,Tampa electric company,15018133.0
384,Nextera energy resources,548236.0
385,Nebraska public power district,10837147.0
386,Northern natural gas company,266429.0
387,"Beaulieu group, llc",34774.0
388,Portland general electric company,3908114.3
389,Integrys energy group inc.,102592.75
390,Pvr midstream llc,150365.0
391,"Dominion resources, inc.",446477.0
392,"Sarasota county, fl",85046.0
393,Duke energy corporation,53133731.77
394,"Northeast energy associates, lp",433650.0
395,Orion engineered carbons llc,176190.0
396,Idacorp,88523.0
397,Pepco holdings incorporated,219213.0
398,Contour global,22609.0
399,Public service enterprise group,7870409.0
400,"Eif berkshire holdings, llc",399469.0
401,Berry petroleum company,1059736.0
402,"Public service enterprise group, inc",5182872.0
403,Luminant generation company llc,51103248.0
404,"Louisiana generating, llc",10778807.42
405,Entergy corporation,1754689.58
406,"Western wisconsin energy, llc",83022.0
407,Merced county regional waste management,25426.0
408,"Standard binghamton, llc",3762.0
409,Ge energy financial services,396094.0
410,"J-power development co, ltd.",396094.0
411,Jonah gas gathering company,507790.0
412,Chevron corporation,12327321.72
413,Dynegy inc.,181493.5
414,Unisource energy corporation,777389.0
415,County of greenville,188204.0
416,"Great point power, llc",1126146.0
417,Qep resources inc,62656.0
418,Madison gas and electric co.,119041.0
419,"Crosstex north texas gathering, lp",172626.0
420,"Pioneer natural resources usa, inc.",371710.75
