firm_name,Ticker,Price_Before,Price_After,permno,naics2,naics3,naics4,dValue_CAPM,dValue_10CI,dValue_15CI,lobby,outlier,US_revenue_share,carbon_intensity
ADVANCED MICRO DEVICES,AMD,4.73,8.14,61241,33,334,3344,16011982.420185,14782740.5752975,-240055.00898149,1200000.0,0,0.122663624584675,0.0799999982118607
AES,AES,7.47,6.62,76712,55,551,5511,-691024872.217061,-691657851.61792,-720684333.61104,11250.0,0,0.158438697457314,
AIR PROD & CHEM,APD,43.3,43.92,28222,32,325,3251,252146065.195985,251323109.779394,218761140.146356,2415000.0,0,0.456593453884125,0.619000017642975
ALASKA AIRGROUP,ALK,3.56,10.38,28804,48,481,4811,55431638.8823652,55404060.5450096,54121225.2436864,140000.0,0,,1.21700000762939
ALCOA,AA,21.22,24.38,24643,33,331,3313,-66013151.1478929,-70792856.0490441,-118981907.490928,3240000.0,0,0.51012659072876,1.05400002002716
ALLEGHENY ENERGY,AYE,26.25,20.31,10137,22,221,2211,-212910705.482239,-208494458.693007,-215892574.73049,580000.0,0,1.0,0.0
ALLETE,ALE,15.21,19.69,24248,22,221,2211,9628748.61248433,9689395.12591701,8776091.43383969,45000.0,0,1.0,0.0
ALLIANT ENERGY,LNT,7.22,9.75,58819,22,221,2211,43886732.5454101,45727834.5931172,41766940.0506539,47912.0,0,1.0,0.0
ALTRIA,MO,6.93,8.72,13901,31,312,3122,1544677653.65552,1536817947.32111,1512053314.52164,2670000.0,0,1.0,0.0829999968409538
AMEREN,AEE,13.72,14.34,24985,22,221,2212,-188287902.429869,-184037817.179952,-189887355.009921,3090000.0,0,1.0,0.0
AMERICAN ELECTRIC POWER,AEP,15.26,18.39,24109,22,221,2211,-83274783.270377,-76030816.6421933,-90404843.0005642,14100663.0,0,,0.0
AMERICAN SUPERCONDUCTOR,AMSC,293.5,301.6,77175,33,335,3353,85836569.3027915,83721548.2834954,78152335.8233299,340000.0,0,0.14608807861805,0.145999997854233
APACHE,APA,67.7,67.67,39490,21,211,2111,-2049032065.30927,-2033492231.07847,-2110007644.31394,700000.0,0,0.354322671890259,0.897000014781952
APPLIED MATERIALS,AMAT,9.36,9.97,14702,33,333,3332,608309055.35845,596818963.922803,553578918.706169,2090000.0,0,,0.122000001370907
ARCELORMITTAL,MT,87.49,71.42,85261,33,331,3311,-4589461280.14869,-4575566822.55188,-4840770618.64732,1050000.0,0,0.157117486000061,1.05400002002716
AUTODESK,ADSK,22.66,28.56,85631,51,511,5112,-89201517.5974847,-89069597.3446887,-101980775.848668,340000.0,0,0.293505907058716,0.0270000007003546
BARCLAYS,BCS,12.45,10.72,69761,52,522,5221,-120201548.862547,-124361867.83783,-130162296.057439,1740000.0,0,,0.0740000009536743
BEST BUY,BBY,23.9,26.24,85914,44,443,4431,496618074.74063,486404803.201738,443198729.98451,1820000.0,0,0.764984607696533,
BLACKSTONE,BX,5.06,5.05,92108,52,523,5239,67577186.1092252,63746190.1754435,57601744.1545707,3150000.0,0,,0.0740000009536743
BOEING,BA,36.49,49.67,19561,33,336,3364,-434711304.673895,-487227655.404609,-588028083.698214,27736000.0,0,0.58583652973175,0.100000001490116
BOSTON SCI,BSX,9.55,5.97,77605,33,339,3391,-176195000.199747,-176516063.323474,-194741173.578864,480000.0,0,0.565583109855652,0.0729999989271164
BP,BP,23.85,17.58,29890,32,324,3241,2214692515.93321,2203041568.42096,2117744290.52064,11670000.0,0,0.346759736537933,1.21000003814697
BUNGE,BG,46.53,34.68,89138,31,311,3112,-528392221.993247,-530501798.092277,-549011581.846303,1440000.0,0,0.236658573150635,0.221000000834465
CALPINE,CPN,14.68,13.13,92530,22,221,2211,-836187028.466738,-839628452.508356,-854314743.482581,1520000.0,0,1.0,0.0
CAMPBELL SOUP,CPB,17.91,23.28,25320,31,311,3114,761086184.817786,767701008.644164,757835627.271546,110000.0,0,0.719764232635498,0.221000000834465
CANADIAN PACIFIC RAILWAY,CP,7.17,9.34,89125,48,482,4821,419129680.535177,414379013.660626,393527384.142489,80000.0,0,0.159332156181335,1.21700000762939
CATERPILLAR,CAT,25.27,41.22,18542,33,333,3339,845470072.647135,841100166.849709,747819556.613287,3533250.0,0,0.323521256446838,0.122000001370907
CEMEX DE,CX,8.44,8.33,87204,32,327,3273,-640370933.799225,-646320307.436195,-670339324.162341,620000.0,0,,1.61300003528595
CENTERPOINT ENERGY,CNP,5.76,7.89,21792,22,221,2211,-200230644.083765,-197628934.031109,-201896470.001907,1491101.0,0,,0.0
CF IND HLDGS,CF,11.71,9.66,90829,32,325,3253,250186563.414903,252052692.38777,245635088.827614,1630000.0,0,0.910755157470703,0.619000017642975
CHEVRON,CVX,38.65,41.92,14541,32,324,3241,8421328195.87974,8418341319.45346,8220472864.02702,18000000.0,0,,1.21000003814697
CITIGROUP,C,28.91,30.16,70519,52,522,5221,-13226463368.279,-13618199430.9085,-13813063989.0679,5360000.0,1,,0.0740000009536743
CLIFFS NATURAL RESOURCES,CLF,24.11,42.98,27422,21,212,2122,74613597.761388,73764443.3298765,45942222.2599107,50000.0,0,0.434047371149063,0.897000014781952
CMS ENERGY,CMS,7.26,9.1,23229,22,221,2211,-33776077.6790895,-32076745.9275727,-35995938.2546415,2170000.0,0,1.0,0.0
CONAGRA,CAG,9.16,12.03,56274,31,311,3116,565941562.462224,568859003.282518,560396079.711851,560000.0,0,1.0,0.221000000834465
CONOCOPHILLIPS,COP,21.65,23.7,13928,32,324,3241,-2691225546.19776,-2687401745.5748,-2809164562.72237,8818930.0,0,0.65475195646286,1.21000003814697
