TICKER,COMNAM,NAICS
A,AGILENT TECHNOLOGIES INC,334515.0
AA,ALCOA INC,331312.0
AACC,ASSET ACCEPTANCE CAPITAL CORP,523920.0
AAI,AIRTRAN HOLDINGS INC,481111.0
AAME,ATLANTIC AMERICAN CORP,524113.0
AAON,AAON INC,333411.0
AAP,ADVANCE AUTO PARTS INC,441310.0
AAPL,APPLE INC,334111.0
AATI,ADVANCED ANALOGIC TCHNLGS INC,334413.0
AAU,ALMADEN MINERALS LTD,212221.0
AAV,ADVANTAGE OIL & GAS LTD,211111.0
AAWW,ATLAS AIR WORLDWIDE HOLDINGS INC,481212.0
AAXJ,ISHARES TRUST,525990.0
AB,ALLIANCEBERNSTEIN HOLDING L P,523920.0
ABAT,ADVANCED BATTERY TECHNOLS INC,551112.0
ABAX,ABAXIS INC,325413.0
ABB,A B B LTD,335311.0
ABBC,ABINGTON BANCORP INC PA,522120.0
ABC,AMERISOURCEBERGEN CORP,424210.0
ABCB,AMERIS BANCORP,551111.0
ABCO,ADVISORY BOARD CO,561110.0
ABCW,ANCHOR BANCORP WISCONSIN INC,551111.0
ABD,A C C O BRANDS CORP,339942.0
ABFS,ARKANSAS BEST CORP DEL,484122.0
ABG,ASBURY AUTOMOTIVE GROUP INC,441310.0
ABIO,ARCA BIOPHARMA INC,325412.0
ABL,AMERICAN BILTRITE INC,322222.0
ABM,A B M INDUSTRIES INC,561720.0
ABMD,ABIOMED INC,339112.0
ABR,ARBOR REALTY TRUST INC,525990.0
ABT,ABBOTT LABORATORIES,325412.0
ABTL,AUTOBYTEL INC,541613.0
ABV,COMPANHIA DE BEBIDAS DAS AMERS,312120.0
ABVA,ALLIANCE BANKSHARES CORP,551111.0
ABVT,ABOVENET INC,517210.0
ABX,BARRICK GOLD CORP,212221.0
ACAD,ACADIA PHARMACEUTICALS,325412.0
ACAS,AMERICAN CAPITAL LTD,523910.0
ACAT,ARCTIC CAT INC,336999.0
ACC,AMERICAN CAMPUS COMMUNITIES INC,531110.0
ACCL,ACCELRYS INC,511210.0
ACE,ACE LTD NEW,524130.0
ACET,ACETO CORP,424690.0
ACFC,ATLANTIC COAST FED CORP,522110.0
ACFN,ACORN ENERGY INC,334611.0
ACG,ALLIANCEBERNSTEIN INCOME FD INC,525990.0
ACGL,ARCH CAPITAL GROUP LTD NEW,524130.0
ACGY,ACERGY S A,213112.0
ACH,ALUMINUM CORP CHINA LTD,331312.0
ACHN,ACHILLION PHARMACEUTICALS INC,325412.0
ACI,ARCH COAL INC,212111.0
ACIW,A C I WORLDWIDE INC,511210.0
ACL,ALCON INC,339115.0
ACLI,AMERICAN COMMERCIAL LINES INC,483211.0
ACLS,AXCELIS TECHNOLOGIES INC,334413.0
ACM,A E C O M TECHNOLOGY CORP,561110.0
ACMR,AC MOORE ARTS AND CRAFTS INC,451120.0
ACN,ACCENTURE PLC IRELAND,541512.0
ACO,AMCOL INTERNATIONAL CORP,484121.0
ACOR,ACORDA THERAPEUTICS INC,325414.0
ACPW,ACTIVE POWER INC,335999.0
ACTG,ACACIA RESEARCH CORP,533110.0
ACTI,ACTIVIDENTITY CORP,511210.0
ACTS,ACTIONS SEMICONDUCTOR CO LTD,334413.0
ACU,ACME UNITED CORP,332211.0
ACUR,ACURA PHARMACEUTICALS INC,325412.0
ACV,ALBERTO CULVER CO NEW,325611.0
ACWI,ISHARES TRUST,525990.0
ACWX,ISHARES TRUST,525990.0
ACXM,ACXIOM CORP,518210.0
ACY,AEROCENTURY CORP,532420.0
ADAM,A D A M INC,511210.0
ADAT,AUTHENTIDATE HOLDING CORP,541511.0
ADBE,ADOBE SYSTEMS INC,511210.0
ADC,AGREE REALTY CORP,531190.0
ADCT,A D C TELECOMMUNICATIONS INC,515210.0
ADEP,ADEPT TECHNOLOGY INC,511210.0
ADES,ADA ES INC,325188.0
ADGF,ADAMS GOLF INC,339920.0
ADI,ANALOG DEVICES INC,334413.0
ADK,ADCARE HEALTH SYSTEMS INC,623110.0
ADLR,ADOLOR CORP,325412.0
ADM,ARCHER DANIELS MIDLAND CO,311222.0
ADP,AUTOMATIC DATA PROCESSING INC,518210.0
ADPI,AMERICAN DENTAL PARTNERS INC,621492.0
ADRA,BLDRS INDEX FUNDS TRUST,525990.0
ADRD,BLDRS INDEX FUNDS TRUST,525990.0
ADRE,BLDRS INDEX FUNDS TRUST,525990.0
ADRU,BLDRS INDEX FUNDS TRUST,525990.0
ADS,ALLIANCE DATA SYSTEMS CORP,541990.0
ADSK,AUTODESK INC,511210.0
ADTN,ADTRAN INC,334210.0
ADVS,ADVENT SOFTWARE INC,541511.0
ADX,ADAMS EXPRESS CO,525990.0
ADY,FEIHE INTERNATIONAL INC,311514.0
AE,ADAMS RESOURCES & ENERGY INC,211111.0
AEA,ADVANCE AMERICA CASH ADV CTRS IN,522291.0
AEC,ASSOCIATED ESTATES REALTY CORP,525930.0
AEE,AMEREN CORP,221210.0
AEG,AEGON N V,524113.0
AEHR,AEHR TEST SYSTEMS,334515.0
AEIS,ADVANCED ENERGY INDUSTRIES INC,334419.0
AEL,AMERICAN EQUITY INVT LIFE HLDG C,551112.0
AEM,AGNICO EAGLE MINES LTD,212221.0
AEN,ADEONA PHARMACEUTICALS INC,325412.0
AEO,AMERICAN EAGLE OUTFITTERS INC NE,448190.0
AEP,AMERICAN ELECTRIC POWER CO INC,221112.0
