"Company","Total GHG"
New York Power Authority,2006646.0
Williams Partners L.P.,3423677.4
Archdiocese of Chicago,31718.0
3M Center,87826.0
3M Company,36879.0
3M Company,244835.0
3M COMPANY,28750.0
3M,28988.0
Holland Board of Public Works,348591.0
Miami-Dade County Department of Solid Waste,112946.0
"Consolidated Edison, Inc.",3236885.0
City of Houston,27214.0
Vectren,2189502.0
Hitachi Metals America,27551.0
Abbott Labortories,27764.0
Abbott Laboratories,243345.0
Abbott Hospitals,117315.0
Drummond Co Inc,208846.0
Advanced BioEnergy,84217.0
Glacial Lakes Corn Processors,314039.0
U.S. Government,113058.0
"Enbridge Energy Partners, L.P.",687111.0
"Absolute Energy, L.L.C.",166628.0
Shell Petroleum Inc.,4686839.0
Acadia Parish Police Jury,46724.0
Trona Operating Partners,783184.0
"ACE Ethanol, LLC",71980.0
"Koch Industries, Inc.",16515644.0
"Olympus Power, LLC",669084.0
Adkins Energy LLC,67146.0
Archer Daniels Midland Co.,4599198.0
Archer Daniels Midland Company,4762080.0
Archer Daniels Midland,1784112.0
"Republic Services, Inc.",14769398.61
Advanced Disposal,955149.0
"Veolia Environnement North America Operations, Inc.",2408401.0
ADVANCED DISPOSAL SERVICES,192395.0
ADS WASTE HOLDINGS INC,43495.0
Honeywell International,44297.0
"Honeywell International, Inc.",5116738.0
AES Corporation,14710573.0
The AES Corporation,5224614.0
NewMarket Corporation,43236.0
"AG Energy, LP",9712.0
Ag Processing Inc,467329.0
AGC Glass Company North America,29466.0
"AGC Flat Glass North America, Inc.",100283.0
AGC,45429.0
Asahi Glass Company,94350.0
Gevo,39679.0
Agrifos Fertilizer L.L.C.,49375.0
Agrium U.S. Inc,841955.0
"Agrium U.S., Inc",104574.0
Agrium US Inc,82935.0
AGY HOLDING CORP,12833.0
Air Liquide Large Industries US LP,3778101.0
"American Air Liquide Holdings, Inc.",140667.0
Air Liquide Large Industries U.S. LP,191411.0
Air Liquide America LP,422530.0
"Air Products and Chemicals, Inc.",6380740.0
"Air Products and Chemicals, Inc",1875965.0
Air Products and Chemicals Inc.,789517.0
"Air Products & Chemicals, Inc.",859226.0
"Ajinomoto U.S.A., Inc.",111819.0
AK Steel Corporation,7723313.0
"Severstal North America, Inc.",1919200.0
"Waste Management, Inc.",19461893.0
Al-Corn Clean Fuel,77311.0
"AL Sandersville, LLC",32748.0
"Al Turi Landfill, Inc.",9216.0
Aladdin Mills Inc,50319.0
City of Albany,84270.0
Albemarle Corporation,272861.0
Alcoa INC,6766676.0
Alcoa Inc.,2640417.4
Alumina Ltd,303399.60000000003
Blount County,31812.800000000003
City of Alcoa,23859.6
City of Maryville,23859.6
Aleris International Inc.,370594.0
City of Santa Clara,250516.0
Alliant Techsystems Operations LLC,27717.0
Allegheny Technologies Incorporated,440505.0
Allen County Kansas,53211.0
Cowtown Pipeline Partners L.P.,48479.0
Inc.,5076395.5
Veresen Inc.,288484.5
Almatis,5437.0
"AlonUSA Energy, Inc.",258478.0
"Howard County, Maryland",28220.0
"El Paso Midstream Investment Company, LLC",25138.0
Alton Steel Inc.,48759.0
Alyeska Pipeline Service Company,259214.0
"ThyssenKrupp Steel USA, LLC",35675.0
Snake River Sugar Company,839160.0
Alabama Municipal Electric Authority,6644.0
Arkema Inc.,67820.0
"NA Industries, Inc",13716.0
AMR Corporation,53834.0
County of Fresno,87473.0
"Oldcastle Materials, Inc.",137955.5
"Natural Resources of Central Florida, Inc.",110364.40000000001
"CJM of Florida, LLC",27591.100000000002
American Colloid Company,93618.0
American Crystal Sugar,1736168.0
American Environmental Landfill,84866.0
"Eagle Materials, Inc.",567410.0
Eagle Materials Inc.,1061520.0
American Proteins Inc.,204221.0
American Refining Group,163961.0
"American Sugar Refining, Inc.",125542.0
Michelin North America Inc.,267098.0
"Chevron Phillips Chemical Company, LLC",336716.0
Amgen Inc,26422.0
Amgen Inc.,27381.0
"American Municipal Power, Inc.",974050.0
Monomoy Captial Partners,143526.0
Municipality of Anchorage - Solid Waste Servieces,323157.0
ConocoPhillips,15727127.7
Spectra Energy Corp,1282124.5
"The Andersons, Inc.",88463.0
Angelina Co. Waste Management Center,25268.0
The Dow Chemical Company,14992598.0
Anheuser-Busch InBev,272591.0
Anheuser-Busch Inbev,463617.0
Anheuser Busch Inc,57576.0
City of Farmington,258297.0
IPR-GDF SUEZ Energy North America,691637.0
"IPR-GDF SUEZ Energy North America, Inc.",896400.0
TransCanada American Investments Ltd.,1411984.0
TransCanada American Investments Ltd,80048.0
"Merit Energy Company, LLC",164224.0
Republic Services Inc.,354661.0
Freeport-McMoRan Copper & Gold,329628.39
Southwest Energy,329628.39
"Arbutus Management Holdings, LLC",13454.220000000001
"Environmental Logistics Services, LLC",395199.0
Appleton Papers Inc.,109959.0
Appleton Papers Inc,99788.0
Pinnacle West Capital Corporation,12257270.290000001
Black Hills Corporation,3162743.0
Arkansas Glass Container Corporation,34942.0
Uniboard USA LLC,8964.0
ArcelorMittal USA LLC,21671433.65
Dofasco Holdings Inc. [dba. ArcelorMittal Tubular Products USA Corporation],62355.0
Lafarge NA Inc.,658460.0
Essroc Italcementi Group,1551786.0
"Arizona Chemical Company, LLC",159766.0
Arizona Board of Regents for and on behalf of Arizona State University,44607.0
"Arkansas Steel Associates, LLC",48243.0
"Conestoga Energy Partners, LLC",169335.0
"U.S. Lime & Minerals, Inc.",1152857.0
Arkema Delaware Inc,74030.0
"Snyder Associated Companies, Inc",184971.0
"Armstrong World Industries, Inc.",127534.0
Americas Mining Corporation,128103.0
Ascend Performance Materials LLC,6136451.0
Ash Grove Cement Company,4190890.0
Enogex Holdings LLC,132179.0
Astoria Energy LLC,1276885.0
Athens-Clarke County Unified Government,91960.0
ATI Ladish LLC,63662.0
Alliant Techsystems Inc,77342.0
"MAXIMUS COFFEE GROUP, L.P",39869.0
Atlantic County Utilities Authority,112340.0
DTE Energy,32087702.0
Sussex County Board of Supervisors,187534.0
City of Auburn,24933.0
"Koch Enterprises, Inc.",35983.0
Austin Utilities,4961.0
Austin White Lime Company,373300.0
