"Company","Ticker"
ADVANCED MICRO DEVICES,AMD
AES,AES
AGL RESOURCES,GAS
AIR PROD & CHEM,APD
AIRGAS,ARG
ALASKA AIRGROUP,ALK
ALCOA,AA
ALLEGHENY ENERGY,AYE
ALLETE,ALE
ALLIANT ENERGY,LNT
ALLIANT TECHSYSTEMS,ATK
ALON USA ENERGY,ALJ
ALPHA NATURAL RESOURCES,ANR
ALTRIA,MO
AMEREN,AEE
AMERICAN ELECTRIC POWER,AEP
AMERICAN SUPERCONDUCTOR,AMSC
ANADARKO PETROLEUM,APC
APACHE,APA
APCO OIL & GAS INT,None
APPLIED MATERIALS,AMAT
ARCELORMITTAL,MT
ARCH COAL,ACI
AUTODESK,ADSK
BARCLAYS,BCS
BARRICK GOLD,ABX
BERKSHIRE HATHAWAY,BRK.B
BEST BUY,BBY
BLACKSTONE,BX
BOEING,BA
BOSTON SCI,BSX
BP,BP
BRANDS,None
BROOKFIELD ASSET MANAGEMENT,BAM
BUNGE,BG
CALPINE,CPN
CAMPBELL SOUP,CPB
CANADIAN PACIFIC RAILWAY,CP
CATERPILLAR,CAT
CEMEX DE,CX
CENTERPOINT ENERGY,CNP
CF IND HLDGS,CF
CHESAPEAKE ENERGY,CHK
CHEVRON,CVX
CITIGROUP,C
CLIFFS NATURAL RESOURCES,CLF
CMS ENERGY,CMS
CON WAY,CNW
CONAGRA,CAG
CONOCOPHILLIPS,COP
CONSOL ENERGY,CNX
CONSTELLATION ENERGY,CEG
CONTINENTAL AIRLINES,CAL
COOPER IND,CBE
CORNING,GLW
COVANTA HLDGS,CVA
CRAWFORD,None
CREDIT SUISSE,CS
CSX,CSX
CUMMINS,CMI
CURTISS WRIGHT,CW
DARLING INT,DAR
DDR BANK,None
DEAN FOODS,DF
DEERE,DE
DEL MONTE FOODS,DLM
DELL PROD,DELL
DELTA AIR LINES,DAL
DENBURY RESOURCES,DNR
DEVON ENERGY,DVN
DOMINION RESOURCES,D
DOW CHEM,DOW
DTE ENERGY,DTE
DU PONT EI DE NEMOURS,DD
DUKE ENERGY,DUK
EASTMAN CHEM,EMN
EASTMAN KODAK,EK
EATON,ETN
EBAY,EBAY
EDISON INT,EIX
EL PASO,EP
EMC,EMC
EMERSON ELECTRIC,EMR
ENERGEN,EGN
ENERGY,None
ENTERGY,ETR
EXELON,EXC
EXXON MOBIL,XOM
FEDEX,FDX
FIRST SOLAR,FSLR
FIRSTENERGY,FE
FMC,FMC
FORD MOTOR DEL,F
FOSTER WHEELER,FWLT
FPL,FPL
FRONTIER OIL,FTO
FUELCELL ENERGY,FCEL
GEN ELECTRIC,GE
GENCORP,GY
GENON ENERGY,GEN
GREAT PLAINS ENERGY,GXP
HALLIBURTON,HAL
HEWLETT PACKARD,HPQ
HONDA MOTOR,HMC
HONEYWELL INT,HON
HORMEL FOODS,HRL
HUDSON TECH,HDSN
IDACORP,IDA
IHS,IHS
IMPERIAL SUGAR,IPSU
INGERSOLL RAND,IR
INT BUSINESS MACHS COR,IBM
INT PAPER,IP
INTEGRYS ENERGY,TEG
INTEL,INTC
INTERCONTINENTALEXCHANGE,ICE
ITC HLDGS,ITC
JETBLUE AIRWAYS,JBLU
JOHNSON & JOHNSON,JNJ
JOHNSON CONTROLS,JCI
JOY GLOBAL,JOY
JP MORGAN CHASE,JPM
KIMBERLY CLARK,KMB
LAFARGE,None
LENNOX INT,LII
LEXMARK INT,LXK
LOCKHEED MARTIN,LMT
MARATHON OIL,MRO
MARRIOTT INT,MAR
MASCO,MAS
MCDERMOTT INT,MDR
MCDONALDS,MCD
MDU RESOURCES,MDU
MEADWESTVACO,MWV
METLIFE,MET
MICRON TECH,MU
MINNESOTA MINING & MFG,MMM
MIRANT,MIR
MONSANTO,MON
MOTOROLA,MOT
MURPHY OIL,MUR
NALCO HLDGS,NLC
NAT GRID,NGG
NAVISTAR INT,NAV
NEXEN,NXY
NIKE,NKE
NISOURCE,NI
NOBLE ENERGY,NBL
NOKIA,NOK
NORFOLK SOUTHERN,NSC
NORTHEAST UTILITIES,NU
NORTHWESTERN,NWE
NUCOR,NUE
NYSE EURONEXT,NYX
OCCIDENTAL PETROLEUM,OXY
OWENS ILLINOIS,OI
PANASONIC,PC
PATRIOT COAL,PCX
PEABODY ENERGY,BTU
PEPCO HLDGS,POM
PEPSICO,PEP
PG&E,PCG
PINNACLE WEST CAPITAL,PNW
PLUM CREEK TIMBER,PCL
PNM RESOURCES,PNM
PORTLAND GEN ELECTRIC,POR
POTLATCH,PCH
PPG IND,PPG
PPL,PPL
PRAXAIR,PX
PROCTER & GAMBLE,PG
PROGRESS ENERGY,PGN
PRUDENTIAL FINANCIAL,PRU
PUBLIC SERVICE ENTERPRISE,PEG
RENTECH,RTK
RES IN MOTION,RIMM
RIO TINTO,RIO
ROYAL DUTCH SHELL,RDS.A
SAFEWAY,SWY
SANDRIDGE ENERGY,SD
SAP,SAP
SASOL,SSL
SCANA,SCG
SEMPRA ENERGY,SRE
SHAW,SGR
SIEMENS,SI
SOLUTIA,SOA
SONY,SNE
SOUTHERN,SO
SOUTHWEST AIRLINES,LUV
SPECTRA ENERGY,SE
STARBUCKS,SBUX
SVB FINANCIAL,SIVB
SYMANTEC,SYMC
TECO ENERGY,TE
TEMPLE INLAND,TIN
TESORO,TSO
THERMO FISHER SCI,TMO
TIMKEN,TKR
TOYOTA MOTOR,TM
TRANSCANADA,TRP
TYCO ELETRONICS,TEL
TYSON FOODS,TSN
UAL,UAUA
UIL HLDGS,UIL
UNILEVER,UL
UNION PACIFIC,UNP
UNISOURCE ENERGY,UNS
UNITED PARCEL SERVICE,UPS
UNITED TECH,UTX
US AIRWAYS,LCC
US GEOTHERMAL,HTM
USA STEEL CORP,X
USEC,USU
VECTREN,VVC
VERIZON COMMUNICATION,VZ
VULCAN MATERIALS,VMC
WAL MART STORES,WMT
WESTAR ENERGY,WR
WEYERHAEUSER,WY
WILLIAMS,WMB
WISCONSIN ENERGY,WEC
XCEL ENERGY,XEL
