Index,Index.1,Ticker,Company,Total GHG,naics
0,0.0,AA,ALCOA INC,9665558.4,331312.0
1,1.0,ABT,ABBOTT LABORATORIES,243345.0,325412.0
2,2.0,ADM,ARCHER DANIELS MIDLAND CO.,11145390.0,311222.0
3,3.0,AEE,AMEREN,58893386.0,221210.0
4,4.0,AEP,AMERICAN ELECTRIC POWER,112654854.5,221112.0
5,5.0,AES,AES CORPORATION,19935187.0,551112.0
6,6.0,AGU,AGRIUM U.S. INC,1198583.0,325311.0
7,7.0,AKS,AK STEEL CORPORATION,7723313.0,331111.0
8,8.0,AL,ALLIANT ENERGY CORPORATION,13006442.72,
9,9.0,ALB,ALBEMARLE CORPORATION,272861.0,325998.0
10,10.0,ALE,ALLETE,9559457.0,221121.0
11,11.0,ALEX,"ALEXANDER & BALDWIN,INC.",144968.0,483113.0
12,12.0,ALJ,ALON USA,698784.0,324110.0
13,13.0,AMGN,AMGEN INC,53803.0,325412.0
14,14.0,AMGP,"AMERICAN MIDSTREAM GP,LLC",747.16,
15,15.0,ANDE,"THE ANDERSONS,INC.",88463.0,424510.0
16,16.0,APA,APACHE CORPORATION,21316.5,211111.0
17,17.0,APC,ANADARKO PETROLEUM CORPORATION,1456476.24,211111.0
18,18.0,APD,"AIR PRODUCTS AND CHEMICALS,INC.",9905448.0,325120.0
19,19.0,APL,"ATLAS PIPELINE PARTNERS,L.P.",195185.0,486210.0
20,20.0,ARK,ARKEMA INC.,87842.0,525990.0
21,21.0,ASH,ASHLAND INC.,219844.0,453998.0
22,22.0,ASR,"AMERICAN SUGAR REFINING,INC.",332134.0,488119.0
23,23.0,ATI,ALLEGHENY TECHNOLOGIES INCORPORATED,440505.0,331111.0
24,24.0,ATO,ATMOS ENERGY CORPORATION,35045.0,221210.0
25,25.0,AVA,AVISTA CORPORATION,6268.0,221122.0
26,26.0,AWC,ALUMINA LTD,303399.60000000003,331311.0
27,27.0,AWI,"ARMSTRONG WORLD INDUSTRIES,INC.",220161.0,326192.0
28,28.0,BA,THE BOEING COMPANY,126708.0,336411.0
29,29.0,BAK,"BRASKEM AMERICA,INC.",59666.0,
30,30.0,BAS,BASIC AMERICAN FOODS,84525.0,213112.0
31,31.0,BASF,BASF CORPORATION,3809042.0,
32,32.0,BAYN,BAYER CORPORATION,562543.0,551111.0
33,33.0,BBG,BILL BARRETT CORPORATION,128821.0,211111.0
34,34.0,BC,BRUNSWICK CORPORATION,28253.0,333618.0
35,35.0,BCEI,"BONANZA CREEK ENERGY,INC.",24639.0,
36,36.0,BDC,BELDEN HOLDING & ACQUISITION COMPANY,56569.0,335921.0
37,37.0,BEP,BROOKFIELD RENEWABLE POWER,14144.0,525990.0
38,38.0,BF.B,BROWN-FORMAN CORPORATION,46217.0,
39,39.0,BG,"BUNGE NORTH AMERICA,INC.",263451.5,311222.0
40,40.0,BHE,BLACK HILLS ENERGY,585055.4,334412.0
41,41.0,BIIB,"BIOGEN IDEC,INC",35794.0,325414.0
42,42.0,BKH,BLACK HILLS CORPORATION,3162743.0,221121.0
43,43.0,BMY,BRISTOL-MYERS SQUIBB COMPANY,67160.0,325412.0
44,44.0,BP,BP AMERICA INC.,21162663.36,324110.0
45,45.0,BPI,BOISE INC.,237375.0,611310.0
46,46.0,BRK.B,"BERKSHIRE HATHAWAY,INC.",5045123.28,
47,47.0,BRY,BERRY PETROLEUM COMPANY,1059736.0,211111.0
48,48.0,BUD,ANHEUSER-BUSCH INBEV,859099.0,312120.0
49,49.0,CAG,"CONAGRA FOODS,INC.",93254.0,311611.0
50,50.0,CARR,CARGILL,3090949.0,
51,51.0,CAT,CATERPILLAR INC,141232.0,333923.0
52,52.0,CBT,CABOT CORPORATION,813822.0,325182.0
53,53.0,CCC,CALGON CARBON CORPORATION,36335.0,325120.0
54,54.0,CE,CELANESE CORPORATION,831421.0,325199.0
55,55.0,CENX,CENTURY ALUMINUM COMPANY,520387.0,331524.0
56,56.0,CF,"CF INDUSTRIES HOLDINGS,INC.",11777121.0,325311.0
57,57.0,CHK,"CHESAPEAKE MIDSTREAM PARTNERS,LP",551746.0,211111.0
58,58.0,CHS,"CHS,INC.",1038446.0,448120.0
59,59.0,CIF,"CHIEF INDUSTRIES,INC.",179171.0,525990.0
60,60.0,CKH,"SEACOR HOLDINGS,INC.",71421.5,483111.0
61,61.0,CLF,CLIFFS NATURAL RESOURCES,3186305.0700000003,212210.0
62,62.0,CLMT,CALUMET SPECIALTY PRODUCTS PARTNERS,32736.0,324110.0
63,63.0,CLW,CLEARWATER PAPER CORPORATION,431185.0,322110.0
64,64.0,CLX,CLECO CORPORATION,4077261.0,325612.0
65,65.0,CMC,COMMERCIAL METALS COMPANY,393834.0,331221.0
66,66.0,CMP,COMPASS MINERALS,51914.0,311942.0
67,67.0,CMS,CMS ENERGY,12041515.5,221119.0
68,68.0,CNP,CENTERPOINT ENERGY RESOURCES CORP,507942.0,221111.0
69,69.0,COP,CONOCOPHILLIPS,27149392.48,324110.0
70,70.0,CPB,CAMPBELL SOUP COMPANY,263689.0,311422.0
71,71.0,CPCH,"CHEVRON PHILLIPS CHEMICAL COMPANY,LLC",3005832.0,
72,72.0,CPN,CALPINE CORPORATION,37113755.0,221119.0
73,73.0,CRS,CARPENTER TECHNOLOGY CORPORATION,152937.0,331221.0
74,74.0,CTB,COOPER TIRE AND RUBBER CO,87045.0,326211.0
75,75.0,CVA,COVANTA ENERGY CORPORATION,4288943.4,562212.0
76,76.0,CVI,CVR ENERGY,1234378.0,324110.0
77,77.0,CVX,CHEVRON CORPORATION,12428193.22,324110.0
78,78.0,CWST,"CASELLA WASTE SYSTEMS,INC.",641787.0,562219.0
79,79.0,CX,"CEMEX,INC",6171863.36,327320.0
80,80.0,CY,CYPRESS SEMICONDUCTOR CORPORATION,3094.0,334413.0
81,81.0,CZR,CAESARS ENTERTAINMENT CORPORATION,73253.0,
82,82.0,D,DOMINION RESOURCES INC,51645303.0,221112.0
83,83.0,DAL,"DELTA AIR LINES,INC.",52304.0,481111.0
84,84.0,DCP,"DCP MIDSTREAM PARTNERS,LP",224880.6,541990.0
85,85.0,DD,E. I DUPONT DE NEMOURS AND COMPANY,9466741.0,325211.0
86,86.0,DE,DEERE & COMPANY,135294.0,333111.0
87,87.0,DGE,DIRECT ENERGY LP,1652215.0,
88,88.0,DIS,THE WALT DISNEY COMPANY,288704.79,713110.0
89,89.0,DKH,DELEK US HOLDINGS,455729.0,
90,90.0,DOW,THE DOW CHEMICAL COMPANY,15119566.5,325211.0
91,91.0,DPL,THE DAYTON POWER & LIGHT COMPANY,18688025.79,221111.0
92,92.0,DTE,DTE ENERGY,32089982.0,221119.0
93,93.0,DUK,DUKE ENERGY CORPORATION,53133731.77,221119.0
94,94.0,DVN,DEVON ENERGY,908587.0,211111.0
95,95.0,DYN,"DYNEGY,INC.",28156001.0,221119.0
96,96.0,ED,"CONSOLIDATED EDISON,INC.",3236885.0,221210.0
97,97.0,EDE,THE EMPIRE DISTRICT ELECTRIC COMPANY,3424597.84,221119.0
98,98.0,EE,EL PASO ELECTRIC COMPANY,1711544.0,221119.0
99,99.0,EEP,"ENBRIDGE ENERGY PARTNERS,L.P.",712541.0,486210.0
100,100.0,EIX,EDISON INTERNATIONAL,44052896.0,221119.0
101,101.0,ELM,ELEMENTIS PLC,197300.0,
102,102.0,EMN,EASTMAN CHEMICAL COMPANY,6743175.0,325211.0
103,103.0,ENB,"ENBRIDGE US,INC",26265.0,486210.0
104,104.0,EOG,"EOG RESOURCES,INC.",271.0,211111.0
105,105.0,EPB,"EL PASO MIDSTREAM INVESTMENT COMPANY,LLC",25138.0,486210.0
106,106.0,EPD,"ENERGY PARTNERS OF DELAWARE,LTD.",1062535.0,211111.0
107,107.0,EPN,"EAST PENN MANUFACTURING CO.,INC.",99765.0,
108,108.0,ETP,ENERGY TRANSFER PARTNERS LP,894160.0,221210.0
109,109.0,ETR,ENTERGY,25522098.3,221111.0
110,110.0,EXC,EXELON CORP,5978882.0,221113.0
111,111.0,EXP,"EAGLE MATERIALS,INC.",1628930.0,327310.0
112,112.0,EXTN,"EXTERRAN HOLDINGS,INC.",62136.0,
113,113.0,F,FORD MOTOR COMPANY,735276.0,336111.0
114,114.0,FCX,FREEPORT-MCMORAN COPPER & GOLD,444292.39,212221.0
115,115.0,FMC,FMC CORPORATION,1648024.0,333132.0
116,116.0,FME,FRESENIUS MEDICAL CARE NORTH AMERICA,48642.0,
117,117.0,FPL,FLORIDA POWER AND LIGHT COMPANY,31593477.0,221111.0
118,118.0,GAS,"NICOR,INC",25551.0,221210.0
119,119.0,GE,GENERAL ELECTRIC COMPANY,3422679.0,333611.0
120,120.0,GEF,"GREIF,INC",63415.0,322214.0
121,121.0,GEVO,GEVO,39679.0,
122,122.0,GIS,GENERAL MILLS,55625.0,311230.0
123,123.0,GL,"GLANBIA FOODS,INC.",35910.0,
124,124.0,GLO,CONTOUR GLOBAL,22609.0,525990.0
125,125.0,GLW,CORNING INCORPORATED,559970.5,335921.0
126,126.0,GM,GENERAL MOTORS LLC,878524.0,336111.0
127,127.0,GOLD,BARRICK GOLD CORPORATION,255535.0,212221.0
