"Company","Ticker"
"3M", "MMM"
"3M Center", "MMM"
"3M Company", "MMM"
"600 Land, Inc.", "None"
"Abbott Hospitals", "None"
"Abbott Laboratories", "ABT"
"Abbott Labortories", "ABT"
"Abengoa Bioenergy Corpopration", "None"
"Abengoa Bioenergy Maple, LLC", "None"
"Abengoa Bioenergy US Holding, Inc", "None"
"AbiBow U. S., Inc.", "None"
"ABIBOW US INC - Catawba Operations", "None"
"Absolute Energy, L.L.C.", "None"
"Acadia Parish Police Jury", "None"
"Accuride Corportion", "None"
"ACE Ethanol, LLC", "None"
"Ada County Solid Waste Management", "None"
"Adkins Energy LLC", "None"
"ADS WASTE HOLDINGS INC", "None"
"Advanced BioEnergy", "None"
"Advanced BioEnergy, LLC", "None"
"Advanced Disposal", "ADSW"
"ADVANCED DISPOSAL SERVICES", "ADSW"
"Aera Energy LLC", "None"
"AER NY-Gen, LLC", "None"
"AES Corporation", "AES"
"AES Eastern Energy LP", "AES"
"Agave Energy Company", "None"
"AGC", "None"
"AGC Flat Glass North America, Inc.", "None"
"AGC Glass Company North America", "None"
"AG Energy, LP", "None"
"Ag Processing Inc", "None"
"Agra Resources Coop dba POET Biorefining Glenville", "None"
"Agrifos Fertilizer L.L.C.", "None"
"Agrium U.S. Inc", "AGU"
"AGY HOLDING CORP", "None"
"AIM Midstream Holdings, LLC", "None"
"Air Liquide America LP", "AIQUY"
"Air Liquide Large Industries US LP", "AIQUY"
"Air Products and Chemicals, Inc.", "APD"
"Ajinomoto U.S.A., Inc.", "AJINY"
"Aka Energy Group, LLC", "None"
"Akron Energy Systems, LLC", "None"
"AK Steel Corporation", "AKS"
"Alabama Municipal Electric Authority", "None"
"Aladdin Mills Inc", "None"
"Alamance County", "None"
"Alaska Electric and Energy Cooperative, Inc.", "None"
"Albemarle Corporation", "ALB"
"Albert Einstein College of Medicine", "None"
"Alcan Rolled Products - Ravenswood, LLC", "RIO"
"Alcoa INC", "AA"
"Al-Corn Clean Fuel", "None"
"Aleris International Inc.", "None"
"Alexander and Baldwin, Inc.", "ALEX"
"Algonquin Gas Transmission, LLC", "AQN"
"Algonquin Power Fund (America) Inc.", "AQN"
"Algonquin Power Windsor Locks, LLC", "AQN"
"ALJ Regional Holdings, Inc.", "ALJJ"
"Allegheny Energy", "AYE"
"Allegheny Technologies Incorporated", "ATI"
"Allen County Kansas", "None"
"Allens, Inc.", "None"
"Allete", "ALE"
"Alliance Coal, LLC", "None"
"Alliant Energy", "LNT"
"Alliant Energy Coporation", "LNT"
"Alliant Energy Corporation", "LNT"
"Alliant Techsystems Inc", "ATK"
"Alliant Techsystems Operations LLC", "ATK"
"Almatis", "None"
"Alon Energy USA", "None"
"Alon USA", "ALDW"
"AlonUSA Energy, Inc.", "ALDW"
"AlphaGen Power LLC", "None"
"Alpha Natural Resources, Inc.", "ANR"
"Alphapet Inc.", "None"
"AL Sandersville, LLC", "None"
"Alstom Grid Inc", "ALSOY"
"Altair Disposal Services, LLC", "None"
"Alton Steel Inc.", "None"
"Altria Group, Inc.", "MO"
"Al Turi Landfill, Inc.", "None"
"Alumina Ltd", "AWCMY"
"Alyeska Pipeline Service Company", "None"
"Amalgamated Warbasse Houses, Incorporated", "None"
"Ameren", "AEE"
"Ameren Energy Generating Company", "AEE"
"Ameresco Chicopee LFGTE", "AMRC"
"American Air Liquide Holdings, Inc.", "AIQUY"
"American Bituminous Power Partners", "None"
"American Colloid Company", "None"
"American Crystal Sugar", "None"
"American Crystal Sugar Company", "None"
"American Electric Power", "AEP"
"American Electric Power Corp.", "AEP"
"American Environmental Landfill", "None"
"American Honda Motor Co.", "HMC"
"AMERICAN HONDA MOTOR CO INC", "HMC"
"American Honda Motor Company", "HMC"
"American Midstream GP, LLC", "AMID"
"American Municipal Power, Inc.", "None"
"American Proteins Inc.", "None"
"American Refining Group", "None"
"American Standard Brands", "None"
"American Sugar Refining, Inc.", "ASR"
"Americas Mining Corporation", "None"
"Amgen Inc", "AMGN"
"Ampco - Pittsburgh Securities V Corporation", "None"
"AMR Corporation", "AAMRQ"
"Anadarko Petroleum Corp", "APC"
"Anadarko Petroleum Corporation", "APC"
"Anchor Glass Container Corporation", "AGC"
"Anderson Columbia", "None"
"Androscoggin Valley Regional Refuse District", "None"
"Angelina Co. Waste Management Center", "None"
"Anheuser-Busch InBev", "BUD"
"Anheuser Busch Inc", "BUD"
"Anne Arundel County, Maryland (Dept. of Public Works-Waste Management Services)", "None"
"Apache Corporation", "APA"
"Appleton Coated LLC", "None"
"Appleton Papers Inc.", "None"
"Arapahoe County", "None"
"Arbutus Management Holdings, LLC", "None"
"Arcelor Mittal", "MT"
"ArcelorMittal Holdings LLC", "MT"
"ArcelorMittal USA LLC", "MT"
"Archdiocese of Chicago", "None"
"Archer Daniels Midland", "ADM"
"Archer Daniels Midland Co.", "ADM"
"Archer Daniels Midland Company", "ADM"
"ARCO Aluminun", "None"
"Arctic Slope Regional Corporation", "None"
"Arctic Slope Regional Corporations", "None"
"Arizona Board of Regents for and on behalf of Arizona State University", "None"
"Arizona Chemical Company, LLC", "None"
"Arizona Electric Power Cooperative", "None"
"Arizona State Land Department", "None"
"Arkansas Electric Cooperative Corporation", "None"
"Arkansas Glass Container Corporation", "None"
"Arkansas Steel Associates, LLC", "None"
"Arkema Delaware Inc", "ARKAY"
"Arkema Inc.", "ARKAY"
"Armstrong World Industries, Inc.", "AWI"
"Arrowhead Pipeline, L.P.", "None"
"Arroyo Energy, LP", "None"
"Artistic Carton Company", "None"
"Asahi Glass Company", "ASGLY"
"Ascend Performance Materials LLC", "None"
"Ash Grove Cement Company", "None"
"Ashland Inc.", "ASH"
"Aspen Scrbgrass Participant (Arclight Capital Partners, LLC)", "None"
"Associated Electric Cooperatie, Inc.", "None"
"Associated Electric Cooperative, Inc.", "None"
"Astoria Energy LLC", "None"
"Astoria Generating Company, L.P.", "None"
"ASTRA Energy Holdings, Inc.", "None"
"Athens-Clarke County Unified Government", "None"
"ATI Ladish LLC", "ATI"
"Atlantic County Utilities Authority", "None"
"Atlantic Power", "AT"
"ATLANTIC POWER CORPORATION", "AT"
"Atlantic Power Holdings, Inc", "AT"
"Atlas Holdings LLC", "None"
"Atlas Pipeline Partners, L.P.", "APLP"
"Atmos Energy Corporation", "ATO"
"ATP Oil and Gas Corporation", "ATPGQ"
"Aucilla Area Solid Waste Facility", "None"
"Augusta-Richmond Georgia", "None"
"Auriga Polymers Inc.", "None"
"Aurora Energy, LLC", "None"
"Austin Utilities", "None"
"Austin White Lime Company", "None"
"Aux Sable Liquid Products LLC", "None"
"Avant Energy", "None"
"Aventine Renewable Energy", "None"
"Aventine Renewable Energy, Inc.", "AVR"
"Avista Corporation", "AVA"
"AW Power Holdings, LLC", "None"
"B-41 Associates", "None"
"Badger Creek Ltd", "None"
"Badger State Ethanol", "None"
"BAE SYSTEMS HOLDINGS INC.", "BAESY"
"Baldwin County", "None"
"Ball State University", "None"
"Baltimore County Government", "None"
"Bannock County, Idaho", "None"
"Barrick Gold Corporation", "ABX"
"Barrow Utilities and Electric Cooperative, Inc.", "None"
"Bartholomew County Solid Waste Management District", "None"
"Barton County", "None"
"BASF Corporation", "BASFY"
"Basic American Foods", "None"
"Basin Electric Power Cooperative", "None"
"Bavarian Trucking Company, Inc.", "None"
"BAXTER INTERNATIONAL INC.", "BAX"
"Bay County, Florida", "None"
"Bayer Corporation", "BAYRY"
"Bayer Group", "BAYRY"
"Bayonne Plant Holding LLC", "None"
"B.Braun Medical Inc.", "None"
"Bear Mountain Ltd.", "None"
"Beaulieu Group, LLC", "None"
"Belden Holding and Acquisition Company", "None"
"Bellefield Boiler Plant", "None"
"Berkeley County Water and Sanitation", "None"
"Berkshire Advisers, Inc.", "None"
"BERKSHIRE HATHAWAY", "BRK.A"
"Berkshire Hathaway Inc.", "BRK.A"
"Berry Petroleum Company", "BRY"
"Bershire Hathaway, Inc.", "BRK.A"
"Besse Forest Products, Inc.", "None"
"Beta Offshore", "None"
"BF Bolthouse Holdco, LLC", "None"
"BHP Billiton Petroleum", "BHP"
"BHP Billiton Petroleum Holdings (USA) Inc.", "BHP"
"Bicent (California) Power LLC", "None"
"Bicent Power LLC", "None"
"Big Island Trona Co (Subsidiary of Anadarko Petroleum Corp.)", "APC"
"Big Rivers Electric Corporation", "None"
"Bill Barrett Corporation", "BBG"
"BioEnergy Holdings LLC", "None"
"BioFuel Energy, LLC", "BIOF"
"Biogas Energy Solutions", "None"
"Biogen Idec, Inc", "BIIB"
"Bionol Clearfield Holdco LLC", "None"
"Black Hawk County Landfill", "None"
"Black Hills Corporation", "BKH"
"Black Hills Energy", "BKH"
"Black River Energy, LLC", "None"
"Black Warrior Solid Waste Disposal Authority", "None"
"Blandin Paper Company", "None"
"Blount County", "None"
"Blue Earth County Environmental Services", "None"
"Blue Heron Paper Company", "None"
"Blue Island Phenol LLC", "None"
"Board of Governors of the Colorado State University System", "None"
"Board of Trustees", "None"
"Boeing Company", "BA"
"Boise Inc", "BZ"
"Boise Paper Holdings LLC", "BZ"
"Bonanza Creek Energy, Inc.", "BCEI"
"BosPower Partners, LLC", "None"
"Bountiful City", "None"
"BP", "BP"
"BP America Inc.", "BP"
"BP America Production Company", "BP"
"Bradley County, TN", "None"
"Braintree Electric Light Department", "None"
"Braskem America, Inc.", "BAK"
"Brazos Electric Power Cooperative, Inc.", "None"
"Brazos Valley Solid Waste Management Agency, Inc.", "None"
"BreitBurn Energy Company LP", "BBEPQ"
"Brevard County Board of County Commissioners", "None"
"Brick Power Holdings LLC", "None"
"Bridgeport Energy LLC", "None"
"Bridgeport Ethanol, LLC", "None"
"Bridgestone Americas Holding, Inc.", "BRDCY"
"Bridgestone Americas, Inc", "BRDCY"
"Bridgestone Americas Tire Operations, LLC", "BRDCY"
"Bridgestone Procurement Holdings USA, Inc.", "BRDCY"
"BRIDGEWOOD CHUNCHULA LLC", "None"
"Brigham Young University", "None"
"Bristol-Myers Squibb Company", "BMY"
"Brookfield Renewable Power", "BEP"
"Broome County Division of Solid Waste Managment", "None"
"Broward County Solid Waste and Recycling Services - Solid Waste Operations Division", "None"
"Brown County", "None"
"Brown County Port and Solid Waste Department", "None"
"Brown County Port and Solid Wste Department", "None"
"Brown-Forman Corporation", "BF.A"
"Brownsville Public Utilities Board", "None"
"Brown University", "None"
"Brunswick Corporation", "BC"
"Buchanan Generation, LLC", "None"
"Buckeye Pollution Control Corporation", "None"
"Buckeye Power", "None"
"Buckeye Power Company", "None"
"Buckeye Technologies, Inc.", "BKI"
"Buncombe County", "None"
"Buncombe County Solid Waste Services", "None"
"Bunge North America", "BG"
"Bunge North America (East) LLC", "BG"
"Bunge North America, Inc.", "BG"
"Bunge North America (OPD West), Inc", "BG"
"Bunge Oils, Inc.", "BG"
"Burlington County", "None"
"Burlington Electric Department", "None"
"Burlington Resources Oil and Gas", "COP"
"Bushmills Ethanol, Inc.", "None"
"BUZZI UNICEM USA", "BZZUY"
"Buzzi Unicem USA, Inc", "BZZUY"
"Cabot Corporation", "CBT"
"Caesars Entertainment Corporation", "CZR"
"Caithness Long Island LLC", "None"
"Calgon Carbon Corporation", "CCC"
"California Dairies, Inc.", "None"
"California Department of Water Resources", "None"
"California Institute of Technology", "None"
"Calpine Corporation", "CPN"
"Calpine Corporatoin", "CPN"
"Calumet Lubricants Company, L.P.", "None"
"Calumet Shreveport Lubricants and Waxes, LLC", "None"
"Calumet Specialty Products Partners", "CLMT"
"CALYPSO ENERGY HOLDING LLC", "None"
"Calypso Energy Holdings LLC", "None"
"Camden County Government", "None"
"Camden Plant Holding LLC", "None"
"Campbell County, Virginia", "None"
"Campbell Soup Company", "CPB"
"Campbell Soup Compnay", "CPB"
"Canton Drop Forge", "None"
"Canyon County Solid Waste Department", "None"
"Cape May County Municipal Utilities Authority", "None"
"Capitol Aggregates", "None"
"Caraustar Industries, Inc.", "CSAR"
"Carbide Industries LLC", "None"
"CARBO Ceramics Inc.", "CRR"
"Carbon Green BioEnergy, LLC", "None"
"Cardinal Cogen, Inc.", "None"
"Cardinal Ethanol, LLC", "None"
"Cardinal FG", "None"
"Cardinal Glass Industries", "None"
"Cardinal Glass Industries, Inc.", "None"
"Cardinal Midstream, LLC", "None"
"Carestream Health Inc.", "None"
"Cargill", "None"
"Cargill, Inc.", "None"
"Cargill Incorporated", "None"
"Carmeuse Lime and Stone", "None"
"Carmeuse Lime and Stone Inc.", "None"
"Carmeuse Lime, Inc.", "None"
"Carmeuse North America", "None"
"Carolina Stalite Company", "None"
"Carpenter Technology Corporation", "CRS"
"Carroll Grayson Galax Solid Waste Authority", "None"
"Carson Cogeneration Company", "None"
"Carus Corporation", "None"
"Carver-Marion-Wareham (CMW) Regional Refuse Disposal District", "None"
"Cascades USA inc", "None"
"Casella Waste Systems, Inc.", "CWST"
"Castleton Energy Center, LLC", "None"
"Catalyst Paper (Snowflake) Inc.", "CYT"
"Catawba County", "None"
"Caterpillar", "CAT"
"Caterpillar Inc.", "CAT"
"Catoosa County", "None"
"Cavanta Energy Corporation", "None"
"Cavendish America Inc.", "None"
"CC Metals and Alloys, LLC", "None"
"Cecil County Board of Commisioners", "None"
"Cedar Bayou Fractionators, L.P.", "None"
"Cedar Falls Municipal Electric Utility", "None"
"Cedar Rapids Linn County Solid Waste Agency", "None"
"Celanese Corporation", "CE"
"Cellu Tissue Holdings, Inc.", "None"
"CEMEX", "CX"
"CEMEX Construction Materials Atlantic, LLC", "CX"
"Cemex Construction Materials Florida, LLC - Central Power and Lime, LLC", "CX"
"CEMEX de Puerto Rico, Inc.", "CX"
"CEMEX, INC", "CX"
"Center Ethanol Company LLC", "None"
"CenterPoint Energy Resources Corp", "CNP"
"CenterPoint Energy Southeastern Pipelines Holding, LLC", "CNP"
"Central Disposal", "None"
"Central Farmers Cooperative", "None"
"Central Indiana Ethanol, LLC", "None"
"Central Iowa Power Cooperative", "None"
"Central Michigan University", "None"
"Central Minnesota Ethanol Co-op", "None"
"Central Valley Financing Authority", "None"
"Century Aluminum Company", "CENX"
"CertainTeed Corporation", "None"
"CF Industries Holdings, Inc.", "CF"
"CF Industries, Inc.", "CF"
"CFS Group Disposal and Recycling Services, LLC", "None"
"CGS Services Inc.", "None"
"Chalk Cliff, Ltd.", "None"
"Chalmette Refining LLC", "EXXON"
"Charles City County", "None"
"Charles County Department of Public Facilities", "None"
"Charles County, MD", "None"
"Charleston Clean Energy, LLC", "None"
"Charleston County Government", "None"
"Charlotte County, Fl", "None"
"Charlotte Pipe and Foundry Company", "None"
"Charter Manufacturing", "None"
"Charter Manufacturing Co. Inc.", "None"
"Chautauqua County", "None"
"Chemical Lime Company of Alabama, LLC d/b/a Lhoist North America", "None"
"Chemical Lime Company of Arizona d/b/a Lhoist North America", "None"
"Chemical Lime Company of Missouri, Inc. d/b/a Lhoist North America", "None"
"Chemical Lime Company of Virginia, d/b/a Lhoist North America", "None"
"Chemical Lime, Ltd. d/b/a Lhoist North America", "None"
"Chemtura Corporation", "CHMT"
"Cheney Lime and Cement Company", "None"
"Cheniere Energy Inc", "LNG"
"Chesapeake Energy Corporation", "CHK"
"Chesapeake Midstream Partners, LP", "CHKMQ"
"Chester County Solid Waste Authority", "None"
"Chesterfield County", "None"
"Chevron", "CVX"
"CHEVRON CORP", "CVX"
"Chevron Corporation", "CVX"
"Chevron Corporation (highest-level company in the ownership hierarchy of the refining assets only, n", "CVX"
"Chevron Global Power", "CVX"
"Chevron Global Power Company", "CVX"
"Chevron Phillips Chemical Company, LLC", "CVX"
"Chevron Phillips Chemical Company LP", "CVX"
"Chevron Pipeline Company", "CVX"
"Chevron USA, Inc.", "CVX"
"CHICAGO DEPARTMENT OF AVIATION", "None"
"Chief Industries, Inc.", "None"
"Childrens Hospital Medical Center", "None"
"Chippewa Valley Agrafuels Cooperative", "None"
"Chrin Brothers Inc.", "None"
"Chrysler Group LLC", "FCAU"
"CHS, Inc.", "None"
"Chugach Electric Association, Inc.", "None"
"Chula Vista Energy Center, LLC", "None"
"Cimarex Energy Co.", "XEC"
"Citizens Energy Group", "None"
"Citrus County Board of County Commission", "None"
"Citrus World, Inc.", "None"
"City and County of Denver", "None"
"City and County of Honolulu", "None"
"City-County Sanitation, Inc.", "None"
"City of Albany", "None"
"City of Albemarle Landfill", "None"
"City of Albuquerque", "None"
"City of Alcoa", "None"
"City of Alexandria", "None"
"City of Amarillo", "None"
"City of Ames, IA", "None"
"City of Ames, Iowa", "None"
"City of Anaheim", "None"
"City of Anaheim, Public Utilities Department", "None"
"City of Ann Arbor, Michigan (municipally owned)", "None"
"City of Arlington", "None"
"City of Atlanta", "None"
"City of Auburn", "None"
"City of Austin", "None"
"City of Bakersfield", "None"
"City of Bath", "None"
"City of Baton Rouge", "None"
"City of Beaumont", "None"
"City of Birmingham, AL", "None"
"City of Boston", "None"
"City of Bozeman, Montana", "None"
"City of Bristol, Virginia", "None"
"City of Broken Arrow", "None"
"City of Brownsville", "None"
"City of Bryan", "None"
"City of Burbank", "None"
"City of Burbank, California", "None"
"City of Canton Sanitary Landfi8ll", "None"
"City of Casper", "None"
"City of Chandler", "None"
"City of Chanute", "None"
"City Of Charleston", "None"
"City of Charlottesville", "None"
"City of Chattanooga, Tennessee", "None"
"City of Cheyenne", "None"
"City of Clovis", "None"
"City of Coffeyville Municipal Light and Power", "None"
"City of Colton", "None"
"City of Columbia Missouri", "None"
"City of Columbia, MO", "None"
"City of Conroe", "None"
"City of Conway", "None"
"City of Corpus Christi", "None"
"City of Corsicana", "None"
"City of Denton", "None"
"City of Detroit", "None"
"City of Detroit - Board of Water Commissioners", "None"
"City of Dover", "None"
"City of Duluth", "None"
"City of Durham", "None"
"City of Edinburg", "None"
"City of Elko", "None"
"City of Enid", "None"
"City of Escanaba", "None"
"City of Farmers Branch", "None"
"City of Farmington", "None"
"City of Fitchburg", "None"
"City of Flagstaff", "None"
"City of Fort Worth", "None"
"City of Fremont, NE", "None"
"City of Fresno, Department of Public Utilities", "None"
"City of Ft. Smith", "None"
"City of Fulton", "None"
"City of Gainesville/Gainesville Regional Utilities", "None"
"City of Gardner", "None"
"City of Garland", "None"
"City of Gary", "None"
"City of Glasgow", "None"
"City of Glendale", "None"
"City of Glendale - Water and Power", "None"
"City of Gloversville", "None"
"City of Grand Prairie", "None"
"City of Greensboro, North Carolina", "None"
"City of Greenville", "None"
"City of Hamilton", "None"
"City of Hampton", "None"
"City of Harrisonburg Resource Recovery Facility", "None"
"City of Hastings", "None"
"City of Hibbing", "None"
"City of Houston", "None"
"City of Independence", "None"
"City of Independence, Missouri", "None"
"City of Iowa City", "None"
"City of Irving, Texas", "None"
"City of Jacksonville", "None"
"City of Jacksonville, FL", "None"
"City of Jacksonville, Florida", "None"
"City of Jamestown", "None"
"City of Janesville", "None"
"City of Johnson City", "None"
"City of Kerrville", "None"
"City of Kingman KS", "None"
"City of LA", "None"
"City of Lacy Lakeview", "None"
"City of LaGrange, Georgia", "None"
"City of Lakeland - Lakeland Electric", "None"
"City of Lake Worth Utilities", "None"
"City of Laredo", "None"
"City of Lawton, Oklahoma", "None"
"City of Lebanon", "None"
"City of Lee's Summit", "None"
"City of Lincoln, Nebraska", "None"
"City of Linden", "None"
"City of Little Rock", "None"
"City of Logan", "None"
"City of Lompoc", "None"
"City of Long Beach", "None"
"City of Los Angeles, Department of Airports", "None"
"City of Los Angeles, Department of Water and Power", "None"
"City of Lubbock, Texas", "None"
"City of Martinsville", "None"
"City of Maryville", "None"
"City of Midland", "None"
"City of Midland, Texas", "None"
"City of Mobile Environmental Services Dept.", "None"
"City of Modesto", "None"
"City of Montgomery, Montgomery Alabama", "None"
"City of Morgan City", "None"
"City of Morris, Illinois", "None"
"City of Mountain View", "None"
"City of Mount Pleasant", "None"
"City of Nacodoches", "None"
"City of Nashua, Department of Public Works", "None"
"City of Newport News", "None"
"City of New York Department of Sanitation (DSNY)", "None"
"City of Northampton Massachusetts", "None"
"City of Orlando - OUC", "None"
"City of Orrville", "None"
"City of Oxnard", "None"
"City of Painesville, Ohio", "None"
"City of Palo Alto", "None"
"City of Pampa", "None"
"City of Pasadena", "None"
"City of Pella", "None"
"City of Phoenix", "None"
"City of Ponca City", "None"
"City of Port Arthur", "None"
"City of Pulaski Public Works", "None"
"City of Rapid City", "None"
"City of Redding", "None"
"City of Redlands Municipal Utilities Department", "None"
"City of Richland", "None"
"City of Richmond", "None"
"City of Riversid, Public Utility", "None"
"City of Riverview", "None"
"City of Sacramento", "None"
"City of Salina", "None"
"City of Sallisaw", "None"
"City of San Angelo", "None"
"City of San Diego", "None"
"City of Santa Clara", "None"
"City of Santa Cruz", "None"
"City of Santa Maria", "None"
"City of Savannah - Refuse Disposal Department", "None"
"City of Shelby", "None"
"City of Shreveport", "None"
"City of Sioux Falls", "None"
"City of Snyder", "None"
"City of Spokane", "None"
"City of Spokane, Washington", "None"
"City of Springfield", "None"
"City of Staunton, VA", "None"
"City of St. George Utah", "None"
"City of St. James", "None"
"City of St. Joseph", "None"
"City of Sunnyvale", "None"
"City of Superior, Wisconsin", "None"
"City of Tacoma", "None"
"City of Tallahassee", "None"
"City of Tampa", "None"
"City of Taunton", "None"
"City of Temple", "None"
"City of Thomasville, Georgia", "None"
"City of Tifton", "None"
"City of Toledo", "None"
"City of Tucson", "None"
"City of Tyler", "None"
"City of Ukiah", "None"
"City of Vero Beach", "None"
"City of Victoria", "None"
"City of Vineland", "None"
"City of Virginia", "None"
"City of Virginia Beach", "None"
"City of Waco", "None"
"City of Watsonville", "None"
"City of Waynesboro, VA", "None"
"City of Whittier", "None"
"City of Wichita", "None"
"City of Wichita Falls", "None"
"City of Winfield", "None"
"City of Winston-Salem", "None"
"City Utilities of Springfield, Missouri", "None"
"City Water and Light Plant of the City of Jonesboro", "None"
"CJM of Florida, LLC", "None"
"C-K Tech Inc.", "None"
"Clarion Industries, Inc", "None"
"Clark County", "None"
"Clark County Board of Commissioners", "None"
"Clark Public Utilities", "None"
"Clarksdale Public Utilities", "None"
"Clayton County Transportation and Development Department", "None"
"Clear Air Force Station - US Air Force", "None"
"Clearwater Paper Corporation", "CLW"
"Cleco Corporation", "CNL"
"Clemson University", "None"
"Cleveland Clinic", "None"
"Cleveland Thermal, LLC", "None"
"CLF PinnOak LLC", "None"
"Cliffs Natural Resources", "CLF"
"Clinton County Area Solid Waste Agency", "None"
"Clinton County Solid Waste Authority", "None"
"Clover Flat Landfill, Inc.", "None"
"CM Holdings, Inc.", "None"
"CMS Energy", "CMS"
"CMS Energy Corporation", "CMS"
"Coastal Carolina Clean Power, LLC", "None"
"Coastal Regional Solid Waste Management Authority", "None"
"Coffee County Commission", "None"
"Coffeyville Resources Refining and Marketing", "None"
"Cogentrix Energy LLC", "None"
"Cogentrix Virginia Leasing Corporation", "None"
