Company,Total GHG,Matched
New york power authority,2006646.0,None
Williams partners l.p.,3423677.4,Williams partners l p
Archdiocese of chicago,31718.0,None
3m center,87826.0,None
3m company,36879.0,3m co
3m company,244835.0,3m co
3m company,28750.0,3m co
3m,28988.0,3m co
Holland board of public works,348591.0,None
Miami-dade county department of solid waste,112946.0,None
"Consolidated edison, inc.",3236885.0,None
City of houston,27214.0,None
Vectren,2189502.0,None
Hitachi metals america,27551.0,None
Abbott labortories,27764.0,Abbott laboratories
Abbott laboratories,243345.0,Abbott laboratories
Abbott hospitals,117315.0,None
Drummond co inc,208846.0,None
Advanced bioenergy,84217.0,None
Glacial lakes corn processors,314039.0,None
U.s. government,113058.0,None
"Enbridge energy partners, l.p.",687111.0,Enbridge energy partners lp
"Absolute energy, l.l.c.",166628.0,None
Shell petroleum inc.,4686839.0,None
Acadia parish police jury,46724.0,None
Trona operating partners,783184.0,None
"Ace ethanol, llc",71980.0,None
"Koch industries, inc.",16515644.0,None
"Olympus power, llc",669084.0,None
Adkins energy llc,67146.0,None
Archer daniels midland co.,4599198.0,Archer daniels midland co
Archer daniels midland company,4762080.0,Archer daniels midland co
Archer daniels midland,1784112.0,Archer daniels midland co
"Republic services, inc.",14769398.61,None
Advanced disposal,955149.0,None
"Veolia environnement north america operations, inc.",2408401.0,None
Advanced disposal services,192395.0,None
Ads waste holdings inc,43495.0,None
Honeywell international,44297.0,Honeywell international
"Honeywell international, inc.",5116738.0,None
Aes corporation,14710573.0,None
The aes corporation,5224614.0,None
Newmarket corporation,43236.0,None
"Ag energy, lp",9712.0,None
Ag processing inc,467329.0,None
Agc glass company north america,29466.0,None
"Agc flat glass north america, inc.",100283.0,None
Agc,45429.0,None
Asahi glass company,94350.0,None
Gevo,39679.0,None
Agrifos fertilizer l.l.c.,49375.0,None
Agrium u.s. inc,841955.0,None
"Agrium u.s., inc",104574.0,None
Agrium us inc,82935.0,None
Agy holding corp,12833.0,None
Air liquide large industries us lp,3778101.0,None
"American air liquide holdings, inc.",140667.0,None
Air liquide large industries u.s. lp,191411.0,None
Air liquide america lp,422530.0,None
"Air products and chemicals, inc.",6380740.0,None
"Air products and chemicals, inc",1875965.0,None
Air products and chemicals inc.,789517.0,None
"Air products & chemicals, inc.",859226.0,None
"Ajinomoto u.s.a., inc.",111819.0,None
Ak steel corporation,7723313.0,None
"Severstal north america, inc.",1919200.0,None
"Waste management, inc.",19461893.0,None
Al-corn clean fuel,77311.0,None
"Al sandersville, llc",32748.0,None
"Al turi landfill, inc.",9216.0,None
