"","firm_name","ticker.ticker","ticker.name","permno","naics2","naics3","naics4","dValue_CAPM","dValue_10CI","dValue_15CI","lobby","outlier","US_revenue_share","carbon_intensity"
"1","ADVANCED MICRO DEVICES","AMD","ADVANCED MICRO DEVICES INC",61241,33,334,3344,16011982.420185,14782740.5752975,-240055.00898149,1200000,0,0.122663624584675,0.0799999982118607
"2","AES","AES","AES CORP",76712,55,551,5511,-691024872.217061,-691657851.61792,-720684333.61104,11250,0,0.158438697457314,NA
"3","AGL RESOURCES","GAS","AGL RESOURCES INC",15553,55,551,5511,50785837.282562,51740419.9137514,48795742.2789858,240000,0,1,NA
"4","AIR PROD & CHEM",NA,NA,28222,32,325,3251,252146065.195985,251323109.779394,218761140.146356,2415000,0,0.456593453884125,0.619000017642975
"5","AIRGAS","ARG","AIRGAS INC",70308,42,424,4246,29140084.2688537,28049240.5801787,21514281.5987082,310000,0,0.980149984359741,NA
"6","ALASKA AIRGROUP",NA,NA,28804,48,481,4811,55431638.8823652,55404060.5450096,54121225.2436864,140000,0,NA,1.21700000762939
"7","ALCOA","AA","ALCOA CORP",24643,33,331,3313,-66013151.1478929,-70792856.0490441,-118981907.490928,3240000,0,0.51012659072876,1.05400002002716
"8","ALLEGHENY ENERGY","AYE","ALLEGHENY ENERGY INC",10137,22,221,2211,-212910705.482239,-208494458.693007,-215892574.73049,580000,0,1,0
"9","ALLETE","ALE","ALLETE INC",24248,22,221,2211,9628748.61248433,9689395.12591701,8776091.43383969,45000,0,1,0
"10","ALLIANT ENERGY","LNT","ALLIANT ENERGY CORP",58819,22,221,2211,43886732.5454101,45727834.5931172,41766940.0506539,47912,0,1,0
"11","ALLIANT TECHSYSTEMS","","Alliant Techsystems Operations LLC",76477,33,332,3329,39105973.5306216,38688090.3129818,35043102.5491632,660000,0,NA,0.187999993562698
"12","ALON USA ENERGY","ALJ","ALON USA ENERGY INC",90779,32,324,3241,-40389311.10022,-40309964.1540917,-41346776.212101,170000,0,1,1.21000003814697
"13","ALPHA NATURAL RESOURCES","ANRZQ","ALPHA NATURAL RESOURCES INC",90547,21,212,2121,-215970815.835219,-212424499.975261,-228589464.365875,55000,0,1,0.897000014781952
"14","ALTRIA","MO","ALTRIA GROUP INC",13901,31,312,3122,1544677653.65552,1536817947.32111,1512053314.52164,2670000,0,1,0.0829999968409538
"15","AMEREN","AEE","AMEREN CORP",24985,22,221,2212,-188287902.429869,-184037817.179952,-189887355.009921,3090000,0,1,0
"16","AMERICAN ELECTRIC POWER","AEP","AMERICAN ELECTRIC POWER CO INC",24109,22,221,2211,-83274783.270377,-76030816.6421933,-90404843.0005642,14100663,0,NA,0
"17","AMERICAN SUPERCONDUCTOR","AMSC","AMERICAN SUPERCONDUCTOR CORP",77175,33,335,3353,85836569.3027915,83721548.2834954,78152335.8233299,340000,0,0.14608807861805,0.145999997854233
"18","ANADARKO PETROLEUM","APC","ANADARKO PETROLEUM CORP",70332,21,211,2111,-921355352.497046,-914241295.027012,-1010010937.94098,7083370,0,0.818590641021729,0.897000014781952
"19","APACHE","AMSI1","APACHE MEDICAL SYSTEMS INC",39490,21,211,2111,-2049032065.30927,-2033492231.07847,-2110007644.31394,7e+05,0,0.354322671890259,0.897000014781952
"20","APCO OIL & GAS INT","APAGF","APCO OIL & GAS INTERNATIONAL INC",78231,21,211,2111,-74839079.8177582,-74982793.3669492,-77486571.8125309,680000,0,NA,0.897000014781952
"21","APPLIED MATERIALS","AMAT","APPLIED MATERIALS INC",14702,33,333,3332,608309055.35845,596818963.922803,553578918.706169,2090000,0,NA,0.122000001370907
